TIME:       99 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:       99 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:      100 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:      100 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:      100 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:      101 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:      101 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:      101 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:      102 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:      102 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:      102 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:      103 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:      103 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:      103 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:      104 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:      104 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:      104 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:      105 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (6, 7)
TIME:      105 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:      105 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:      106 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:      106 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:      106 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (7, 7)
TIME:      107 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (6, 7)
